Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),Category
02/16/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1392.0,1144.0,1692.0,431.0,858.0,1361.0,1530.0,1398.0,1674.0,658.0,571.0,916.0,589.0,311.0,702.0,375.0,312.0,701.0,4
03/13/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",575.0,377.0,876.0,748.0,513.0,1091.0,577.0,396.0,841.0,587.0,410.0,841.0,469.0,302.0,727.0,426.0,304.0,595.0,16
01/06/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",475.0,303.0,743.0,472.0,313.0,711.0,496.0,312.0,789.0,557.0,373.0,830.0,386.0,268.0,555.0,410.0,231.0,729.0,16
01/26/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1262.0,919.0,1733.0,818.0,1497.0,1165.0,1080.0,588.0,1726.0,1156.0,512.0,1926.0,869.0,309.0,1109.0,608.0,454.0,1034.0,10
01/18/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1272.0,1042.0,1554.0,1399.0,1103.0,1806.0,1372.0,1187.0,1586.0,1285.0,1029.0,1603.0,1057.0,502.0,1200.0,443.0,343.0,514.0,10
02/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1173.0,751.0,1832.0,974.0,764.0,1242.0,2256.0,1406.0,3620.0,1084.0,836.0,1405.0,865.0,688.0,1087.0,476.0,365.0,806.0,1
01/24/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",550.0,373.0,809.0,618.0,472.0,810.0,610.0,419.0,889.0,507.0,335.0,765.0,445.0,333.0,596.0,420.0,272.0,648.0,16
03/04/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",572.0,378.0,867.0,714.0,510.0,999.0,636.0,462.0,875.0,549.0,352.0,855.0,438.0,315.0,609.0,486.0,292.0,808.0,16
02/10/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",335.0,231.0,486.0,365.0,251.0,531.0,355.0,274.0,459.0,336.0,232.0,486.0,329.0,231.0,468.0,325.0,212.0,499.0,11
02/26/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",823.0,565.0,1198.0,841.0,323.0,659.0,1031.0,781.0,1360.0,810.0,590.0,1114.0,717.0,518.0,993.0,438.0,378.0,507.0,9
03/25/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1319.0,1040.0,1673.0,511.0,700.0,1285.0,1555.0,1254.0,1929.0,1201.0,1063.0,1356.0,880.0,334.0,580.0,446.0,538.0,797.0,10
01/20/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",752.0,519.0,1090.0,899.0,521.0,1553.0,1112.0,743.0,1663.0,743.0,559.0,986.0,703.0,516.0,959.0,562.0,432.0,733.0,9
